ts,product,size_threshold,bid_open_xch,bid_open,bid_high_xch,bid_high,bid_low_xch,bid_low,bid_close_xch,bid_close,bid_qty_close,ask_open_xch,ask_open,ask_high_xch,ask_high,ask_low_xch,ask_low,ask_close_xch,ask_close,ask_qty_close,mid_open,mid_high,mid_low,mid_close
2021-09-25 17:06:00,BTC-USD,0.0,gemini,42622.21000000,gemini,42622.21000000,bitstamp,42608.70000000,gemini,42608.19000000,0.01214476,kraken,42607.30000000,gemini,42608.20000000,gdax,42596.35000000,gdax,42601.35000000,0.01905247,42614.755000000000,42615.205000000000,42602.525000000000,42604.770000000000
2021-09-25 17:07:00,BTC-USD,0.0,gemini,42608.19000000,gemini,42656.41000000,kraken,42641.40000000,gemini,42638.87000000,0.00035578,gdax,42602.88000000,gemini,42608.20000000,bitstamp,42600.00000000,gdax,42634.97000000,0.11728282,42605.535000000000,42632.305000000000,42620.700000000000,42636.920000000000
2021-09-25 17:08:00,BTC-USD,0.0,gemini,42638.87000000,gdax,42689.74000000,kraken,42645.90000000,gemini,42678.52000000,0.00090933,gdax,42634.97000000,bitstamp,42643.94000000,gdax,42630.75000000,kraken,42646.00000000,0.22500000,42636.920000000000,42666.840000000000,42638.325000000000,42662.260000000000
2021-09-25 17:09:00,BTC-USD,0.0,gemini,42678.52000000,gdax,42689.70000000,kraken,42660.30000000,gemini,42684.35000000,0.04165045,kraken,42646.00000000,gemini,42681.60000000,kraken,42646.00000000,kraken,42660.40000000,0.03238712,42662.260000000000,42685.650000000000,42653.150000000000,42672.375000000000
2021-09-25 17:10:00,BTC-USD,0.0,gemini,42684.61000000,gemini,42689.43000000,kraken,42672.30000000,kraken,42660.30000000,0.00175807,kraken,42660.40000000,bitstamp,42661.21000000,gdax,42647.51000000,gdax,42647.51000000,0.11723897,42672.505000000000,42675.320000000000,42659.905000000000,42653.905000000000
2021-09-25 17:11:00,BTC-USD,0.0,kraken,42643.10000000,kraken,42643.10000000,gemini,42628.45000000,kraken,42600.00000000,1.0000E-8,gdax,42632.35000000,kraken,42600.10000000,gdax,42574.13000000,gdax,42582.37000000,0.18100421,42637.725000000000,42621.600000000000,42601.290000000000,42591.185000000000
2021-09-25 17:12:00,BTC-USD,0.0,kraken,42600.00000000,kraken,42600.00000000,bitstamp,42589.21000000,gemini,42568.57000000,0.04148014,gdax,42582.37000000,kraken,42555.70000000,gdax,42551.89000000,kraken,42557.50000000,0.02123510,42591.185000000000,42577.850000000000,42570.550000000000,42563.035000000000
2021-09-25 17:13:00,BTC-USD,0.0,gemini,42578.07000000,gdax,42612.63000000,kraken,42598.70000000,gemini,42605.14000000,0.00193541,kraken,42557.50000000,bitstamp,42587.04000000,kraken,42557.50000000,kraken,42598.80000000,0.00042066,42567.785000000000,42599.835000000000,42578.100000000000,42601.970000000000
2021-09-25 17:14:00,BTC-USD,0.0,gemini,42605.14000000,gemini,42609.36000000,bitstamp,42601.43000000,gemini,42588.09000000,0.0647175,kraken,42598.80000000,bitstamp,42588.89000000,gdax,42577.88000000,kraken,42580.50000000,0.02785431,42601.970000000000,42599.125000000000,42589.655000000000,42584.295000000000
2021-09-25 17:15:00,BTC-USD,0.0,gemini,42588.09000000,gemini,42637.29000000,kraken,42623.70000000,gemini,42612.95000000,0.02800366,kraken,42580.30000000,bitstamp,42575.47000000,gdax,42564.92000000,gdax,42613.56000000,0.11735097,42584.195000000000,42606.380000000000,42594.310000000000,42613.255000000000
2021-09-25 17:16:00,BTC-USD,0.0,gemini,42612.73000000,gdax,42639.92000000,kraken,42623.70000000,gdax,42633.76000000,0.04830000,gdax,42613.56000000,bitstamp,42617.99000000,gdax,42610.19000000,kraken,42623.80000000,0.00037859,42613.145000000000,42628.955000000000,42616.945000000000,42628.780000000000
